Form,Lemma,UPosTag,XPosTag,feature,Head,DepRel,Deps,Misc,Original_POS
Ngritá,_,VERB,_,_,_,_,_,_,y. pal.
Amalayá,_,VERB,_,_,_,_,_,_,_
Abalenga,_,NOUN,_,_,_,_,_,_Etilomogía: Bantú,_
Abboliá,_,VERB,_,_,_,_,_,_,_
Ablalo,ablá,VERB,_,_,_,_,_,_,_
Abrí,_,VERB,_,_,_,_,_,_,_
Agoto,_,NOUN,_,_,_,_,_,_,_
Aguandá,_,VERB,_,_,_,_,_,_,_
Agüelo,aguelo,NOUN,_,_,_,_,_,_,_
Ajibe,_,NOUN,_,_,_,_,_,_,_
Ajuí,_,VERB,_,_,_,_,_,_,_
Ajutaró,_,NOUN,_,_,_,_,_,_,_
Akanforá,_,VERB,_,_,_,_,_,_,_
Akí,_,ADV,_,_,_,_,_,_,_
Akkueddo,_,NOUN,_,_,_,_,_,_,_
Akokiná,_,VERB,_,_,_,_,_,_,_
Akumo,_,PRON,_,PronType=Int,_,_,_,_,_
Aló,_,NOUN,_,_,_,_,_,_,_
Amarío,_,ADJ,_,_,_,_,_,_,_
Ambelike,_,ADJ,_,_,_,_,_,_,_
Amosa,_,ADJ,_,_,_,_,_,_,_
Andeno,Andá,VERB,_,Mood=Imp,_,_,_,_,_
Angolé,_,PROPN,_,_,_,_,_,_,_
Anguía,_,NOUN,_,_,_,_,_,_,_
Anipía,_,NOUN,_,_,_,_,_,_,_
Anke,_,SCONJ,_,_,_,_,_,_,_
Anukironuki,_,NOUN,_,_,_,_,_,_,_
Arelike,_,NOUN,_,_,_,_,_,_,_
Arepuela,_,NOUN,_,_,_,_,_,_,_
Arió,_,INTJ,_,_,_,_,_,_,_
Arumao,_,NOUN,_,_,_,_,_,_,_
Asélo,asé,VERB,_,_,_,_,_,_,_
Atendelo,atendé,VERB,_,_,_,_,_,_,_
Babalao,_,NOUN,_,_,_,_,_,_,_
Babita,_,ADJ,_,PronType=Ind,_,_,_,_,_
Bággame,bagga,INTJ,_,_,_,_,_,_,_
Baileno,bailá,VERB,_,Mood=Imp,_,_,_,_,_
Bajo,_,NOUN,_,_,_,_,_,_,_
Balendo,balé,VERB,_,VerbForm=Ger,_,_,_,_,_
Bandalaje,_,NOUN,_,_,_,_,_,_,_
Binda,_,NOUN,_,_,_,_,_,_,_
Binde,_,NOUN,_,_,_,_,_,_,_
Bokía,_,NOUN,_,_,_,_,_,_,_
Bululú,_,NOUN,_,_,_,_,_,_,_
Buloló,_,NOUN,_,_,_,_,_,_,_
Burú,_,NOUN,_,_,_,_,_,_,_
Chiba,_,NOUN,_,_,_,_,_,_,_
Chika,_,NOUN,_,_,_,_,_,_,_
